subj,stage,stageday,GroupCount,mean_x,mean_y,last10days
rat8,5,15,30,26,0.615384615384615,5
rat8,5,16,30,27,0.366666666666667,6
rat8,5,17,30,28,0.259259259259259,7
rat8,5,18,30,29,0.310344827586207,8
rat8,5,19,30,30,0.32,9
rat8,5,20,30,31,0.210526315789474,10
rat9,5,1,30,10,0.633333333333333,NaN
rat9,5,2,30,11,0.7,NaN
rat9,5,3,30,12,0.62962962962963,NaN
rat9,5,4,30,13,0.482758620689655,NaN
rat9,5,5,30,14,0.678571428571429,NaN
rat9,5,6,30,15,0.482758620689655,NaN
rat9,5,7,30,16,0.444444444444444,1
rat9,5,8,30,17,0.413793103448276,2
rat9,5,9,30,18,0.266666666666667,3
rat9,5,10,30,19,0.25,4
rat9,5,11,30,20,0.433333333333333,5
rat9,5,12,30,21,0.642857142857143,6
rat9,5,13,30,22,0.5,7
rat9,5,14,30,23,0.428571428571429,8
rat9,5,15,30,24,0.357142857142857,9
rat9,5,16,30,25,0.307692307692308,10
