sex,relday,stage,stageday,subject,GroupCount,aucvalues,led,cue,last10days
M,11,5,3,rat6,201,7.695881018,dff,DS,1
M,11,5,3,rat7,201,9.226121392,dff,DS,1
M,11,5,6,rat13,201,0.731135739,dff,DS,6
M,12,5,3,rat11,201,7.058630617,dff,DS,3
M,12,5,3,rat15,201,13.85388394,dff,DS,NaN
M,12,5,4,rat6,201,10.06861369,dff,DS,2
M,12,5,4,rat7,201,9.453189212,dff,DS,2
M,12,5,7,rat13,201,0.283699356,dff,DS,7
M,13,5,4,rat11,201,7.170520187,dff,DS,4
M,13,5,4,rat15,201,24.36470593,dff,DS,1
M,13,5,5,rat6,201,5.958688803,dff,DS,3
M,13,5,5,rat7,201,7.654203956,dff,DS,3
M,13,5,8,rat13,201,-0.716740653,dff,DS,8
M,14,5,5,rat11,201,7.11062315,dff,DS,5
M,14,5,5,rat15,201,18.0568422,dff,DS,2
M,14,5,6,rat6,201,10.47187362,dff,DS,4
M,14,5,6,rat7,201,9.81422004,dff,DS,4
M,15,5,6,rat11,201,5.016874786,dff,DS,6
M,15,5,6,rat15,201,18.40214013,dff,DS,3
M,15,5,7,rat6,201,6.422700769,dff,DS,5
M,15,5,7,rat7,201,12.4851859,dff,DS,5
M,16,5,7,rat11,201,1.073659564,dff,DS,7
M,16,5,7,rat15,201,16.8927155,dff,DS,4
M,16,5,8,rat6,201,3.9943315,dff,DS,6
M,16,5,8,rat7,201,7.240342794,dff,DS,6
M,17,5,8,rat11,201,1.909713949,dff,DS,8
M,17,5,8,rat15,201,18.9084929,dff,DS,5
M,17,5,9,rat6,201,5.281312749,dff,DS,7
M,17,5,9,rat7,201,3.081963396,dff,DS,7
M,18,5,9,rat15,201,20.07623287,dff,DS,6
M,18,5,10,rat6,201,4.009731815,dff,DS,8
M,18,5,10,rat7,201,7.430394261,dff,DS,8
M,19,5,10,rat15,201,23.18074819,dff,DS,7
M,19,5,11,rat6,201,4.935794627,dff,DS,9
M,19,5,11,rat7,201,9.384133164,dff,DS,9
M,20,5,11,rat15,201,18.23583255,dff,DS,8
M,20,5,12,rat6,201,0.561998619,dff,DS,10
M,20,5,12,rat7,201,10.92051558,dff,DS,10
M,21,5,12,rat15,201,16.90237608,dff,DS,9
M,22,5,13,rat15,201,21.97035552,dff,DS,10
F,5,5,1,rat2,201,2.654062287,dff,NS,NaN
F,6,5,2,rat2,201,2.489784484,dff,NS,NaN
F,7,5,3,rat2,201,2.299770147,dff,NS,1
F,8,5,2,rat12,201,1.682717466,dff,NS,2
F,8,5,4,rat2,201,2.505578591,dff,NS,2
F,9,5,3,rat12,201,3.423329791,dff,NS,3
