subj,stage,stageday,GroupCount,mean_x,mean_y,last10days
rat8,5,19,30,30,0.896551724137931,9
rat8,5,20,30,31,0.966666666666668,10
rat9,5,1,30,10,0.533333333333333,NaN
rat9,5,2,30,11,0.566666666666667,NaN
rat9,5,3,30,12,0.766666666666667,NaN
rat9,5,4,30,13,0.833333333333332,NaN
rat9,5,5,30,14,0.833333333333332,NaN
rat9,5,6,30,15,0.833333333333332,NaN
rat9,5,7,30,16,0.793103448275862,1
rat9,5,8,30,17,0.8,2
rat9,5,9,30,18,0.866666666666667,3
rat9,5,10,30,19,0.433333333333333,4
rat9,5,11,30,20,0.833333333333332,5
rat9,5,12,30,21,0.966666666666668,6
rat9,5,13,30,22,0.866666666666667,7
rat9,5,14,30,23,0.966666666666668,8
rat9,5,15,30,24,1,9
rat9,5,16,30,25,0.966666666666668,10
