subj,stage,stageday,GroupCount,mean_x,mean_y
rat16,8,2,30,32,0.833333333333332
rat16,9,1,30,33,0.733333333333333
rat16,9,2,30,34,0.5
rat16,9,3,30,35,0.392857142857143
rat2,1,1,30,1,0.5
rat2,2,1,30,2,0.466666666666667
rat2,3,1,30,3,0.620689655172414
rat2,4,1,30,4,0.571428571428571
rat2,5,1,30,5,0.833333333333332
rat2,5,2,30,6,0.92857142857143
rat2,5,3,30,7,0.8
rat2,5,4,30,8,0.9
rat2,5,5,30,9,0.866666666666667
rat2,5,6,30,10,0.96551724137931
rat2,5,7,30,11,0.966666666666668
rat2,5,8,30,12,0.966666666666668
rat2,5,9,30,13,0.966666666666668
rat2,5,10,30,14,0.966666666666668
rat2,5,11,30,15,0.9
rat2,5,12,30,16,1
rat3,1,1,30,1,0.233333333333333
rat3,2,1,30,2,0.357142857142857
rat3,3,1,30,3,0.206896551724138
rat3,3,2,30,4,0.172413793103448
rat3,3,3,30,5,0.310344827586207
rat3,3,4,30,6,0.379310344827586
rat3,3,5,30,7,0.1
rat3,3,6,30,8,0.208333333333333
rat3,3,7,30,9,0.346153846153846
rat3,3,8,30,10,0.32
rat3,3,9,30,11,0.428571428571429
rat3,4,1,30,12,0.275862068965517
rat3,4,2,30,13,0.363636363636364
rat3,4,3,30,14,0.357142857142857
rat3,5,1,30,15,0.344827586206897
rat3,5,2,30,16,0.25
rat3,5,3,30,17,0.230769230769231
rat3,5,4,30,18,0.433333333333333
rat3,5,5,30,19,0.703703703703704
rat3,5,6,30,20,0.566666666666667
rat3,5,7,30,21,0.482758620689655
rat3,5,8,30,22,0.566666666666667
rat3,5,9,30,23,0.642857142857143
rat3,5,10,30,24,0.8
rat3,5,11,30,25,0.833333333333332
rat3,5,12,30,26,0.9
rat4,1,1,30,1,0.366666666666667
rat4,2,1,30,2,0.7
rat4,3,1,30,3,0.7
rat4,4,1,30,4,0.551724137931034
rat4,4,2,30,5,0.482758620689655
rat4,4,3,30,6,0.533333333333333
rat4,4,4,30,7,0.642857142857143
rat4,4,5,30,8,0.633333333333333
rat4,4,6,30,9,0.866666666666667
rat4,4,7,30,10,0.8
rat4,4,8,30,11,0.8
rat4,5,1,30,12,0.9
rat4,5,2,30,13,0.866666666666667
